score,dx,dy
0.8518751859664917,-175.53191489361706,-159.57446808510645
0.8494074940681458,-207.44680851063833,-175.5319148936171
0.8473705649375916,-223.4042553191489,-207.44680851063833
0.8472663164138794,-127.65957446808511,-63.829787234042556
0.8461857438087463,-159.57446808510633,-111.70212765957444
0.8440455794334412,-223.40425531914894,-207.44680851063822
0.8438814878463745,-95.74468085106383,-95.74468085106378
0.8428068161010742,-127.65957446808505,-111.70212765957444
0.8422337174415588,-175.531914893617,-175.531914893617
0.8417150974273682,-111.7021276595745,-31.91489361702122
0.8411115407943726,-127.65957446808511,-111.70212765957444
0.8406219482421875,-127.65957446808511,-79.78723404255311
0.8397173881530762,-127.65957446808511,-79.78723404255311
0.8392761945724487,-255.31914893617017,-207.44680851063822
0.8392025232315063,-143.61702127659578,-79.78723404255311
0.8386803865432739,-191.48936170212767,-127.65957446808511
0.8384987115859985,-111.7021276595745,0.0
0.8380962014198303,-159.57446808510633,-143.61702127659566
0.8380609750747681,-159.57446808510633,-95.74468085106389
0.8379622101783752,-143.61702127659578,-111.70212765957444
0.8370680212974548,-111.7021276595745,-79.78723404255311
0.8370154500007629,-239.36170212765956,-175.5319148936171
0.8366743922233582,-111.7021276595745,-47.87234042553189
0.8366358280181885,-127.65957446808511,-143.61702127659566
0.8362424373626709,-143.61702127659578,-127.65957446808511
0.835468590259552,-175.53191489361706,-111.70212765957444
0.8353180289268494,-111.7021276595745,-47.87234042553189
0.8349932432174683,-175.531914893617,-127.65957446808511
0.8348256945610046,-159.5744680851064,-47.87234042553189
0.8343012928962708,-223.40425531914894,-191.48936170212778
0.8339909911155701,-143.61702127659572,-111.70212765957444
0.8339065313339233,-175.531914893617,-95.74468085106378
0.8330888748168945,-159.5744680851064,-15.957446808510667
0.832470178604126,-127.65957446808511,-15.957446808510667
0.8322676420211792,-159.57446808510633,-63.829787234042556
0.8319666385650635,-175.531914893617,-111.70212765957444
0.8318835496902466,-111.7021276595745,-15.957446808510554
0.8312329649925232,-143.61702127659578,111.70212765957444
0.8312020301818848,-191.48936170212767,-143.61702127659578
0.8311108946800232,-175.531914893617,-143.61702127659566
0.8309903144836426,-159.5744680851064,63.829787234042556
0.8309592008590698,-143.61702127659572,-79.78723404255311
0.8296908736228943,-175.531914893617,-143.61702127659578
0.8296156525611877,-175.53191489361706,-79.78723404255311
0.8296017050743103,-111.7021276595745,-15.957446808510554
0.8290054798126221,-143.61702127659578,-143.61702127659578
0.828317403793335,-127.65957446808511,15.957446808510667
0.8282871842384338,-191.4893617021276,-47.87234042553189
0.8281570076942444,-159.5744680851064,79.78723404255322
